dataset,split_variant,model,training,checkpoint,eval_split,attack,n_seeds,mAP50,mAP50_std,mAP50-95,mAP50-95_std,precision,recall,selection_bias,source
NSLSR,leakage-safe (segment),nano,pgd_at,last,val,combined_medium,3,0.2713,0.0049,0.1270,0.0033,0.5445,0.3207,,defense_matrix_results.csv
NSLSR,leakage-safe (segment),nano,random_swir_aug,robust_best,test,clean,1,0.9481,,0.6850,,0.9250,0.8600,,defense_matrix_results_test.csv
NSLSR,leakage-safe (segment),nano,random_swir_aug,robust_best,test,pgd20,3,0.0000,0.0000,0.0000,0.0000,0.0001,0.0031,,defense_matrix_results_test.csv
NSLSR,leakage-safe (segment),nano,random_swir_aug,robust_best,test,snua_go_weak,3,0.7328,0.0081,0.3940,0.0043,0.7890,0.6834,,defense_matrix_results_test.csv
NSLSR,leakage-safe (segment),nano,random_swir_aug,robust_best,test,snua_go_medium,3,0.4923,0.0233,0.2103,0.0087,0.5705,0.5860,,defense_matrix_results_test.csv
NSLSR,leakage-safe (segment),nano,random_swir_aug,robust_best,test,aria_medium,3,0.9443,0.0004,0.6762,0.0026,0.9008,0.8695,,defense_matrix_results_test.csv
NSLSR,leakage-safe (segment),nano,random_swir_aug,robust_best,test,combined_medium,3,0.5000,0.0116,0.2124,0.0119,0.5754,0.6093,,defense_matrix_results_test.csv
NSLSR,leakage-safe (segment),nano,random_swir_aug,robust_best,test,snua_go_strong,3,0.1584,0.0103,0.0424,0.0038,0.2940,0.3302,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,random_swir_aug,robust_best,test,aria_strong,3,0.9306,0.0018,0.6512,0.0046,0.8942,0.8439,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,random_swir_aug,robust_best,test,combined_strong,3,0.1419,0.0011,0.0378,0.0015,0.2936,0.3247,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,random_swir_aug,robust_best,test,random_fpn_medium,3,0.9622,0.0018,0.6850,0.0014,0.9164,0.9240,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,random_swir_aug,robust_best,test,random_radiometric_medium,3,0.9487,0.0007,0.6870,0.0009,0.9148,0.8732,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,random_swir_aug,robust_best,val,clean,1,0.6399,,0.3532,,0.7734,0.5701,checkpoint selected on this split,defense_matrix_results.csv
NSLSR,leakage-safe (segment),nano,random_swir_aug,robust_best,val,pgd20,3,0.0000,0.0000,0.0000,0.0000,0.0002,0.0193,checkpoint selected on this split,defense_matrix_results.csv
NSLSR,leakage-safe (segment),nano,random_swir_aug,robust_best,val,snua_go_weak,3,0.3562,0.0057,0.1673,0.0011,0.5835,0.3882,checkpoint selected on this split,defense_matrix_results.csv
NSLSR,leakage-safe (segment),nano,random_swir_aug,robust_best,val,snua_go_medium,3,0.2373,0.0056,0.0952,0.0017,0.4390,0.3648,checkpoint selected on this split,defense_matrix_results.csv
NSLSR,leakage-safe (segment),nano,random_swir_aug,robust_best,val,aria_medium,3,0.6338,0.0025,0.3466,0.0013,0.7836,0.5629,checkpoint selected on this split,defense_matrix_results.csv
NSLSR,leakage-safe (segment),nano,random_swir_aug,robust_best,val,combined_medium,3,0.2409,0.0065,0.0980,0.0010,0.4553,0.3678,checkpoint selected on this split,defense_matrix_results.csv
NSLSR,leakage-safe (segment),nano,snua_at,robust_best,test,clean,1,0.9424,,0.6236,,0.8441,0.9318,,defense_matrix_results_test.csv
NSLSR,leakage-safe (segment),nano,snua_at,robust_best,test,pgd20,3,0.0000,0.0000,0.0000,0.0000,0.0003,0.0047,,defense_matrix_results_test.csv
NSLSR,leakage-safe (segment),nano,snua_at,robust_best,test,snua_go_weak,3,0.9010,0.0001,0.5626,0.0004,0.8864,0.8140,,defense_matrix_results_test.csv
NSLSR,leakage-safe (segment),nano,snua_at,robust_best,test,snua_go_medium,3,0.8514,0.0009,0.4971,0.0004,0.8699,0.7728,,defense_matrix_results_test.csv
NSLSR,leakage-safe (segment),nano,snua_at,robust_best,test,aria_medium,3,0.9374,0.0009,0.6144,0.0019,0.8610,0.8915,,defense_matrix_results_test.csv
NSLSR,leakage-safe (segment),nano,snua_at,robust_best,test,combined_medium,3,0.8413,0.0036,0.4884,0.0034,0.8721,0.7690,,defense_matrix_results_test.csv
NSLSR,leakage-safe (segment),nano,snua_at,robust_best,test,snua_go_strong,3,0.7307,0.0005,0.3835,0.0029,0.7805,0.6992,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,snua_at,robust_best,test,aria_strong,3,0.9167,0.0014,0.5839,0.0032,0.8985,0.7997,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,snua_at,robust_best,test,combined_strong,3,0.6942,0.0070,0.3439,0.0037,0.7594,0.6806,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,snua_at,robust_best,test,random_fpn_medium,3,0.9419,0.0010,0.6247,0.0012,0.8457,0.9284,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,snua_at,robust_best,test,random_radiometric_medium,3,0.9424,0.0011,0.6238,0.0038,0.8478,0.9302,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,snua_at,robust_best,val,clean,1,0.6581,,0.3682,,0.7901,0.5701,checkpoint selected on this split,defense_matrix_results.csv
NSLSR,leakage-safe (segment),nano,snua_at,robust_best,val,pgd20,3,0.0000,0.0000,0.0000,0.0000,0.0006,0.0081,checkpoint selected on this split,defense_matrix_results.csv
NSLSR,leakage-safe (segment),nano,snua_at,robust_best,val,snua_go_weak,3,0.6060,0.0010,0.3310,0.0005,0.8198,0.5080,checkpoint selected on this split,defense_matrix_results.csv
NSLSR,leakage-safe (segment),nano,snua_at,robust_best,val,snua_go_medium,3,0.5524,0.0009,0.2983,0.0004,0.7902,0.4705,checkpoint selected on this split,defense_matrix_results.csv
NSLSR,leakage-safe (segment),nano,snua_at,robust_best,val,aria_medium,3,0.6490,0.0010,0.3612,0.0018,0.7916,0.5701,checkpoint selected on this split,defense_matrix_results.csv
NSLSR,leakage-safe (segment),nano,snua_at,robust_best,val,combined_medium,3,0.5391,0.0027,0.2910,0.0011,0.7724,0.4627,checkpoint selected on this split,defense_matrix_results.csv
NSLSR,leakage-safe (segment),nano,mixed_swir_at,robust_best,test,clean,1,0.9499,,0.6610,,0.9403,0.8791,,defense_matrix_results_test.csv
NSLSR,leakage-safe (segment),nano,mixed_swir_at,robust_best,test,pgd20,3,0.0000,0.0000,0.0000,0.0000,0.0002,0.0047,,defense_matrix_results_test.csv
NSLSR,leakage-safe (segment),nano,mixed_swir_at,robust_best,test,snua_go_weak,3,0.9187,0.0003,0.6137,0.0009,0.9276,0.8654,,defense_matrix_results_test.csv
NSLSR,leakage-safe (segment),nano,mixed_swir_at,robust_best,test,snua_go_medium,3,0.8872,0.0003,0.5605,0.0020,0.9052,0.8354,,defense_matrix_results_test.csv
NSLSR,leakage-safe (segment),nano,mixed_swir_at,robust_best,test,aria_medium,3,0.9446,0.0041,0.6529,0.0008,0.9358,0.8807,,defense_matrix_results_test.csv
NSLSR,leakage-safe (segment),nano,mixed_swir_at,robust_best,test,combined_medium,3,0.8763,0.0028,0.5496,0.0024,0.9081,0.8268,,defense_matrix_results_test.csv
NSLSR,leakage-safe (segment),nano,mixed_swir_at,robust_best,test,snua_go_strong,3,0.7745,0.0055,0.4422,0.0005,0.8475,0.7356,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,mixed_swir_at,robust_best,test,aria_strong,3,0.9308,0.0033,0.6340,0.0036,0.9304,0.8721,,all_evals_results.csv
